127.0.0.1 - - [04/Nov/2025:20:21:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/index.jsp HTTP/1.1" 200 159157
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/carousel-2.png HTTP/1.1" 200 23486
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/carousel-1.png HTTP/1.1" 200 28967
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/css/style.css HTTP/1.1" 200 19595
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/lib/animate/animate.min.css HTTP/1.1" 200 16953
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/css/bootstrap.min.css HTTP/1.1" 200 168939
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-1.png HTTP/1.1" 200 14173
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/header-img.jpg HTTP/1.1" 200 40659
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/lib/wow/wow.min.js HTTP/1.1" 200 8156
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-2.png HTTP/1.1" 200 15009
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/js/main.js HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-4.png HTTP/1.1" 200 47001
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-6.png HTTP/1.1" 200 9334
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-3.png HTTP/1.1" 200 47725
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-5.png HTTP/1.1" 200 37097
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-7.png HTTP/1.1" 200 26296
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-8.png HTTP/1.1" 200 100489
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-11.png HTTP/1.1" 200 36328
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-9.png HTTP/1.1" 200 60147
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-12.png HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-10.png HTTP/1.1" 200 57060
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-14.png HTTP/1.1" 200 51869
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-15.png HTTP/1.1" 200 34639
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-17.png HTTP/1.1" 200 29300
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-16.png HTTP/1.1" 200 47523
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-banner.jpg HTTP/1.1" 200 28754
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:21:14 +0530] "GET /ElectroApp/img/product-13.png HTTP/1.1" 200 16564
