127.0.0.1 - - [04/Dec/2025:16:05:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/lib/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/index.jsp HTTP/1.1" 200 98451
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/img/carousel-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/img/carousel-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/img/product-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/img/product-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/img/header-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/product_image/3.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/product_image/L1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/lib/wow/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/img/product-banner-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /ElectroApp/img/product-banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:05:45 +0530] "GET /ElectroApp/login.jsp HTTP/1.1" 200 22211
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:06:23 +0530] "POST /ElectroApp/UserController HTTP/1.1" 200 22233
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:06:36 +0530] "POST /ElectroApp/UserController HTTP/1.1" 200 100574
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:06:36 +0530] "GET /ElectroApp/profile_picture/3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:06:46 +0530] "GET /ElectroApp/wishlist.jsp HTTP/1.1" 200 24502
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:06:49 +0530] "GET /ElectroApp/product-detail.jsp?pid=1 HTTP/1.1" 200 56669
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:06:49 +0530] "GET /ElectroApp/img/carousel-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:06:49 +0530] "GET /ElectroApp/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:06:49 +0530] "GET /ElectroApp/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2025:16:06:49 +0530] "GET /ElectroApp/lib/counterup/counterup.min.js HTTP/1.1" 304 -
